車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
RC,情報なし,350 Fスポーツ TRDエアロ&マフラー　角型3眼LED　BSM,543.9万円,2019(R01),0.2万km,なし,フロアMTモード付8AT,3500CC,2025-08-15T23:30:57.822310,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6453120069/index.html
RC,情報なし,300h 純正ナビ 車高調 社外マフラー 純正17AW,249.8万円,2017(H29),5.1万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.824984,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6389630365/index.html
RC,情報なし,300h Fスポーツ LEDヘッドライト　19インチアルミホイール　クルコン　Bカメラ　パワーシート　シートH　シートベンチレーション　ナビ　TV　マークレビンソン　ETC　ステアリングヒーター　革シート,341.9万円,2015(H27),0.6万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.827623,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6455685952/index.html
RC,情報なし,300h ナビ Bカメラ 革シート ドラレコ,250.7万円,2015(H27),5.2万km,なし,フロアMTモード付CVT,3500CC,2025-08-15T23:30:57.830265,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6351291874/index.html
RC,情報なし,350 Fスポーツ 純正ナビ/フルセグ/BT/AM/FM/ETC/クルコン,298.8万円,2018(H30),5.3万km,なし,フロアMTモード付8AT,3500CC,2025-08-15T23:30:57.832915,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6451770168/index.html
RC,情報なし,350 サンルーフ黒革OP衝突軽減メーカーナビTV,238.7万円,2015(H27),2.8万km,なし,フロアMTモード付8AT,3500CC,2025-08-15T23:30:57.835491,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6473605452/index.html
RC,情報なし,300h Fスポーツ メーカーナビ バックカメラ,270.9万円,2015(H27),3.2万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.838206,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6319908966/index.html
RC,情報なし,300h Fスポーツ プリクラッシュ　クリアランスソナー　赤革　パワーシート　シートベンチレーション　純正ナビ　バックカメラ　LEDヘッド　レーダークルーズ　革巻きステアリング　パドルシフト　純正19インチAW　禁煙車,229.9万円,2015(H27),7.4万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.840911,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6274260173/index.html
RC,情報なし,300h Fスポーツ ムーンルーフ 温冷シート 運席Pシート　バックモニター　プリクラッシュセーフティ　レーンディパーチャー　レーダークルーズ　シートヒーター　パワーシート　ETC　ドライブレコーダー　スマートキー,308.9万円,2018(H30),5万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.843599,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6296706199/index.html
RC,情報なし,300h バージョンL 本革 禁煙車 純正ナビ Bカメ フルセグ BBS,228.2万円,2016(H28),7.2万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.845770,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6415366105/index.html
RC,情報なし,200t Fスポーツ 純正ナビ/Bカメラ/三眼LED/BSM/ETC/禁煙車　ハンドルヒーター　シートクーラー　BSM　ドライブモードセレクトスイッチ　Bluetooth　MTモード付AT　パワーシート　シートメモリー機能　パドルシフト,269.9万円,2016(H28),6.4万km,なし,フロアMTモード付8AT,2000CC,2025-08-15T23:30:57.848435,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6316671906/index.html
RC,情報なし,300h Fスポーツ 電動白革温冷席 オレンジキャリパー ACC,399.8万円,2019(R01),3.2万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.851068,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6429059039/index.html
RC,情報なし,300h Fスポーツ 衝突軽減/サンルーフ/レーダークルーズ,239.9万円,2018(H30),13万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.853755,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6387579785/index.html
RC,情報なし,300h バージョンL 3眼LED純正ナビOP衝突軽減Fスポ用19AW,179.9万円,2015(H27),12.9万km,なし,フロアCVT,2500CC,2025-08-15T23:30:57.856429,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6325959393/index.html
RC,情報なし,350 Fスポーツ 後期 白革 3眼LED 10.3型ナビ Bカメラ TSS,432.6万円,2019(H31),1.5万km,なし,フロアMTモード付8AT,3500CC,2025-08-15T23:30:57.859156,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6357985335/index.html
RC,情報なし,350 バージョンL 全国3年保証付 サンルーフ オーカー本革,419.2万円,2019(H31),3万km,なし,フロア8AT,3500CC,2025-08-15T23:30:57.861848,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6386264511/index.html
RC,情報なし,300 バージョンL 後期型/ダークローズ内装,286.1万円,2019(H31),11万km,なし,フロアMTモード付8AT,2000CC,2025-08-15T23:30:57.864531,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6418802728/index.html
RC,情報なし,300h Fスポーツ 三眼LED黒革シート純正ナビ地デジ衝突軽減,345.5万円,2019(R01),6.3万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.867423,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6459734558/index.html
RC,情報なし,350 バージョンL 社外Fリップ ナビ Bカメラ BBS19AW LOWDOWN,276.2万円,2016(H28),5.1万km,なし,フロアMTモード付8AT,3500CC,2025-08-15T23:30:57.870405,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6387742908/index.html
RC,情報なし,350 Fスポーツ 318PS赤革エアシート衝突軽減ナビ純正19AW,184.9万円,2015(H27),11.9万km,なし,フロア8AT,3500CC,2025-08-15T23:30:57.873216,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6395316307/index.html
RC,情報なし,300h Fスポーツ サンルーフ 本革 禁煙車 純正ナビ Bカメラ,355.1万円,2019(R01),7.3万km,なし,フロアMTモード付CVT,2500CC,2025-08-15T23:30:57.875920,2025-08-15,23:30:57,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6403383917/index.html
