車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
LS,情報なし,500h Fスポーツ 銀影ラスター デジタルインナー 3眼LED,856.5万円,2023(R05),1万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:21.964555,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6398606022/index.html
LS,情報なし,500 Iパッケージ 4WD メーカーナビ・パノラミックビューモニター,641.9万円,2023(R05),1.9万km,なし,フロアMTモード付10AT,3400CC,2025-08-12T23:30:21.968423,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6341591930/index.html
LS,情報なし,460 バージョンC Iパッケージ 本革エアシート レーダークルコン,255万円,2012(H24),1.7万km,なし,フロアMTモード付8AT,4600CC,2025-08-12T23:30:21.972515,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6360046154/index.html
LS,情報なし,500 Fスポーツ SR　マクレビ　セーフティシステム+A,849.5万円,2021(R03),0.9万km,なし,フロアMTモード付10AT,3500CC,2025-08-12T23:30:21.975184,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6154755996/index.html
LS,情報なし,500h エグゼクティブ 4WD マクレビ リアエンタ Dミラー 三眼LED 本革,406.8万円,2018(H30),11.1万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:21.978060,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6440290403/index.html
LS,情報なし,500h Fスポーツ 4WD SR マークレビンソン 黒/赤シート 1オナ,948.3万円,2023(R05),1万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:21.980715,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6434000002/index.html
LS,情報なし,500h バージョンL 4WD サンルーフOPマクレビ黒革360°カメラETC,491.7万円,2018(H30),1.9万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:21.983375,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6395813808/index.html
LS,情報なし,460 バージョンC Iパッケージ レーダークルーズコントロール/プリクラッシュセーフティ/LKA/電動トランク/ベージュ本革シート/エアシート/シートヒーター/クリアランスソナー/HDDマルチナビ/カラーバックモニター/Bluetoothオーディオ/DVD再生可,74.4万円,2012(H24),7万km,なし,フロアMTモード付8AT,4600CC,2025-08-12T23:30:21.986970,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6461174106/index.html
LS,情報なし,500h Fスポーツ 黒本革・サンルーフ・マークレビンソン,798.9万円,2022(R04),3.3万km,なし,フロアCVT,3500CC,2025-08-12T23:30:21.991042,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6395618340/index.html
LS,情報なし,500 Iパッケージ 黒革シート純正ナビ360°カメラ地デジETC,364.4万円,2018(H30),2.4万km,なし,フロア10AT,3500CC,2025-08-12T23:30:21.993743,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6460874370/index.html
LS,情報なし,500h Iパッケージ 4WD ナビTV 全方位カメラ サンルーフ 1500W ETC,479.8万円,2017(H29),3.2万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:21.996428,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430883021/index.html
LS,情報なし,500h バージョンL 4WD 寒冷地仕様 マークレビンソン 銀影ラスター  法人ワンオーナー 禁煙車 黒革シート レクサスチームメイト 1500W メモリ付パワーシート シートヒーター エアシート ステアリングヒーター ETC2.0 純正19AW冬タイヤ積込,854.5万円,2023(R05),2.8万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:21.999055,2025-08-12,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6463454880/index.html
LS,情報なし,500h Fスポーツ 4WD サンルーフ マクレビ TRD20インチ ドラレコ,833.5万円,2021(R03),0.9万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:22.001704,2025-08-12,23:30:22,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6010857018/index.html
LS,情報なし,500 Iパッケージ 全方位 本革 HUD BSM ACC 純正ナビ TV BT,331.8万円,2018(H30),6.5万km,なし,フロアMTモード付10AT,3400CC,2025-08-12T23:30:22.005641,2025-08-12,23:30:22,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6471231216/index.html
LS,情報なし,500h Iパッケージ 4WD 4WD　ユーザー買取車　メーカーナビ　バックカメラ　フルセグTV　HUD　パンテーラセキュリティ　赤コンビシート　シートヒーター&ベンチレーション　ハンドルヒーター　ETC　BSM　カーボンルーフ,395.8万円,2018(H30),8.6万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:22.009269,2025-08-12,23:30:22,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6427014052/index.html
LS,情報なし,500h Iパッケージ 3眼LED デジタルインナーミラー 本革シート,307万円,2018(H30),11.3万km,なし,フロアMTモード付CVT,3500CC,2025-08-12T23:30:22.012010,2025-08-12,23:30:22,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6382856625/index.html
LS,情報なし,500h バージョンL ムーンルーフ 三眼LED HUD 360°ビュー,870.4万円,2022(R04),1.7万km,なし,フロアMTモード付CVT,3450CC,2025-08-12T23:30:22.014677,2025-08-12,23:30:22,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384429397/index.html
