車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
RX,情報なし,200t バージョンL 4WD 茶革冷暖シート後期用20AW360カメラ3眼LED,261.3万円,2016(H28),7.2万km,なし,フロアMTモード付6AT,2000CC,2025-08-13T23:31:35.928564,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430504292/index.html
RX,情報なし,200t 純正ナビBカメラTVパワーシート衝突軽減ETC,219.9万円,2016(H28),6.6万km,なし,フロア6AT,2000CC,2025-08-13T23:31:35.931309,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6369783309/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD パノラマルーフ シートヒーター ETC,778.8万円,2023(R05),2.2万km,なし,フロア6AT,2400CC,2025-08-13T23:31:35.934074,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6464660859/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD ワンオーナー,779.8万円,2023(R05),1.8万km,なし,フロア6AT,2400CC,2025-08-13T23:31:35.936765,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6477978647/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD 純正ナビ 全方位カメラ 革シートサンルーフ,789.8万円,2023(R05),1.5万km,なし,フロア6AT,2400CC,2025-08-13T23:31:35.939469,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6476693729/index.html
RX,情報なし,450h バージョンL サンルーフ&リアエンター黒革シートETC,306.3万円,2016(H28),3.2万km,なし,フロアMTモード付CVT,3500CC,2025-08-13T23:31:35.942227,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384429752/index.html
RX,情報なし,300 バージョンL 4WD 純正ナビ/三眼LED/全周囲カメラ/衝突軽減,349.9万円,2018(H30),3.7万km,なし,フロア6AT,2000CC,2025-08-13T23:31:35.944981,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6298605781/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD マークレビンソン サンルーフ 黒半革シート リアシート電動リクライニング 全席シートヒーター&ベンチレーター レーダークルーズ プリクラッシュ アドバンスドドライブ ヒートステアリング F/Rクロストラフィック,779.8万円,2023(R05),1.5万km,なし,フロアMTモード付6AT,2400CC,2025-08-13T23:31:35.947669,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6472064348/index.html
RX,情報なし,200t バージョンL 純正12.3型ナビ 衝突軽減 茶革シート ETC,269.9万円,2015(H27),6.7万km,なし,フロアMTモード付6AT,2000CC,2025-08-13T23:31:35.950565,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6245920651/index.html
RX,情報なし,450h バージョンL 4WD パノラマSR　白革シート　社外スポイラー　ACC　ナビ　TV　Bluetooth接続　360°シートヒーター　ベンチレーション　電動リアゲート　3眼LEDヘッドライト　衝突軽減B　BSM　LKA,464.8万円,2019(R01),3.7万km,なし,フロアMTモード付CVT,3500CC,2025-08-13T23:31:35.953293,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6432202119/index.html
RX,情報なし,450h バージョンL サンルーフ　パノラミックビュー　ルーフレール　メーカーナビ　HUD　BSM　茶レザーシート　AC100V　ETC　シートヒーター　ベンチレーション　三眼LEDライト　電動リアゲート　レーダークルーズ,359万円,2018(H30),4.6万km,なし,フロアMTモード付CVT,3500CC,2025-08-13T23:31:35.955939,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6317257308/index.html
RX,情報なし,450hL 4WD 後期型 全方位 HUD サンルーフ 三眼LED,399.8万円,2019(R01),8.7万km,なし,フロアCVT,3500CC,2025-08-13T23:31:35.958719,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6471925329/index.html
RX,情報なし,450hL 4WD サンルーフ　純正12.3型ナビ　パノラミックビューモニター　禁煙車　後席モニター　茶革シート　ブラインドスポットモニター　3眼LEDヘッド　パワーバックドア　パワーシート　AC100Vコンセント,369.9万円,2017(H29),4.7万km,なし,フロアCVT,3500CC,2025-08-13T23:31:35.961525,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6486223025/index.html
RX,情報なし,200t ワンオーナー　サンルーフ　Mナビ　ETC,278.4万円,2017(H29),7.7万km,なし,フロア6AT,2000CC,2025-08-13T23:31:35.963731,2025-08-13,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428310761/index.html
