車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
シビックタイプR,情報なし,2.0 140系後期 フルオリジナル車両,604.8万円,2020(R02),0.6万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.872406,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6284008885/index.html
シビックタイプR,情報なし,2.0 純正メモリーナビ　6速マニュアルミッショ,450万円,2019(R01),2.6万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.874540,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6444001623/index.html
シビックタイプR,情報なし,2.0 純ナビ 社外エアロ タワーバー 無限テール,409.8万円,2019(R01),5.2万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.877184,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6470378208/index.html
シビックタイプR,情報なし,2.0 6速MT MAK18AW タイプR専用シート,330万円,2016(H28),5万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.880063,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6394315799/index.html
シビックタイプR,情報なし,2.0 1オーナー 純正ナビ 衝突軽減 クルコン ETC,567.5万円,2024(R06),0.2万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.882828,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6414149935/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリングリモコン/ホンダセンシング/ETC2.0車載器,578.7万円,2024(R06),76km,なし,フロアMTモード付6MT,2000CC,2025-08-09T23:36:07.885559,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407169554/index.html
シビックタイプR,情報なし,2.0 MT車 純正HDDナビ バックカメラ ブレンボ,399.9万円,2018(H30),4万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.888280,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6365114512/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリング/ホンダセンシング/純正ホイール,576.7万円,2024(R06),67km,なし,フロアMTモード付6MT,2000CC,2025-08-09T23:36:07.891003,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6466348437/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/純正ホンダコネクトナビ/バックカメラ/禁煙車/フルセグTV/ブラインドスポットモニター/純正19インチアルミ/ホンダセンシング/Bluetooth/コーナーセンサー/ETC2.0車載器,572.7万円,2024(R06),18km,なし,フロアMTモード付6MT,2000CC,2025-08-09T23:36:07.893725,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6395456483/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC2.0車載器/フルセグTV/Bluetooth/ステアリングリモコン/ブラインドスポットモニタ-,576.7万円,2025(R07),656km,なし,フロアMTモード付6MT,2000CC,2025-08-09T23:36:07.896483,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6398733178/index.html
シビックタイプR,情報なし,2.0 ギャザズナビ バックカメラ,448.9万円,2019(R01),3.1万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.899466,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6442685783/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/ワンオーナ/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリングリモコン/ホンダセンシング,572.7万円,2024(R06),407km,なし,フロアMTモード付6MT,2000CC,2025-08-09T23:36:07.902200,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407170630/index.html
シビックタイプR,情報なし,2.0 現行　6MT　ターボ　禁煙車　純正フロアマット　ホンダセンシング　ホンダコネクト　純正19インチAW　レッドブレーキキャリパー　+Rモードスイッチ　ETC2.0　トリプルマフラー　大型リヤスポイラー,555.9万円,2023(R05),0.4万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.904928,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6472083805/index.html
シビックタイプR,情報なし,2.0 SDナビ バックカメラ　大型リヤスポイラー,469.9万円,2019(H31),0.6万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.907656,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6339369158/index.html
シビックタイプR,情報なし,2.0 ホンダセンシング ホンダコネクト ブレンボ,555.9万円,2023(R05),1万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.910404,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407481134/index.html
シビックタイプR,情報なし,2.0 6MT　ターボ　ホンダセンシング　ブレンボ,555.9万円,2023(R05),0.6万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.913140,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6420763909/index.html
シビックタイプR,情報なし,2.0 ワンオーナー フルエアロ 衝突軽減 ETC,579.8万円,2023(R05),0.2万km,なし,フロア6MT,2000CC,2025-08-09T23:36:07.915823,2025-08-09,23:36:07,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6456169041/index.html
